Date,Han Zheng,Li Keqiang,Li Zhanshu,Wang Huning,Wang Yang,Xi Jinping,Zhao Leji
2021-10-27,1,2,1,0,1,10,0
2021-10-28,0,1,0,0,0,3,0
2021-10-29,0,0,0,0,1,4,0
2021-10-30,0,0,0,0,0,1,0
2021-10-31,0,0,0,0,0,1,0
2021-11-01,0,0,0,0,1,6,0
2021-11-02,1,1,0,1,0,8,0
2021-11-03,1,2,0,1,1,4,0
2021-11-04,1,1,0,0,0,5,0
2021-11-05,0,0,1,1,0,8,0
2021-11-06,1,0,0,1,1,9,0
2021-11-07,0,0,0,0,0,6,0
2021-11-08,0,0,0,0,0,4,0
2021-11-09,0,1,0,0,0,3,0
2021-11-10,0,0,0,0,0,2,0
2021-11-11,0,0,0,0,0,4,0
2021-11-12,1,1,1,1,2,10,2
2021-11-13,0,0,0,0,0,7,0
2021-11-14,0,0,0,0,0,3,0
2021-11-15,0,1,0,0,0,6,0
2021-11-16,0,0,0,1,0,6,1
2021-11-17,0,2,1,0,0,5,0
2021-11-24,1,2,1,1,2,4,0
2021-11-25,0,1,0,0,0,4,0
2021-11-26,1,2,0,0,1,8,0
2021-11-27,1,1,0,0,0,4,0
2021-11-28,0,0,0,0,0,2,0
2021-11-29,1,2,2,0,0,7,0
